number,short_description,assignment_group,impact,urgency,sla_percentage,sla_paused
INC000001,Incidente de teste número 1,Service Desk,1,2,91,true
INC000002,Incidente de teste número 2,Service Desk,3,3,81,false
INC000003,Incidente de teste número 3,Web Team,1,2,51,true
INC000004,Incidente de teste número 4,Service Desk,2,1,30,false
INC000005,Incidente de teste número 5,Web Team,3,2,37,true
INC000006,Incidente de teste número 6,NOC Brasil,1,2,58,true
INC000007,Incidente de teste número 7,NOC Brasil,3,1,69,true
INC000008,Incidente de teste número 8,Service Desk,3,2,49,true
INC000009,Incidente de teste número 9,App Support,1,1,94,false
INC000010,Incidente de teste número 10,Service Desk,1,3,76,true
INC000011,Incidente de teste número 11,Finance IT,1,1,40,false
INC000012,Incidente de teste número 12,Web Team,2,2,87,true
INC000013,Incidente de teste número 13,NOC Brasil,3,1,38,false
INC000014,Incidente de teste número 14,Web Team,2,2,93,true
INC000015,Incidente de teste número 15,Finance IT,3,2,85,true
INC000016,Incidente de teste número 16,Web Team,3,3,70,true
INC000017,Incidente de teste número 17,Web Team,3,2,36,false
INC000018,Incidente de teste número 18,Web Team,2,1,70,true
INC000019,Incidente de teste número 19,App Support,3,2,54,true
INC000020,Incidente de teste número 20,Web Team,3,3,68,true
INC000021,Incidente de teste número 21,App Support,3,1,52,false
INC000022,Incidente de teste número 22,Finance IT,1,3,48,false
INC000023,Incidente de teste número 23,Service Desk,2,2,55,false
INC000024,Incidente de teste número 24,NOC Brasil,1,2,33,true
INC000025,Incidente de teste número 25,Service Desk,1,1,60,false
INC000026,Incidente de teste número 26,App Support,2,2,82,false
INC000027,Incidente de teste número 27,Finance IT,3,3,39,false
INC000028,Incidente de teste número 28,Finance IT,1,2,34,false
INC000029,Incidente de teste número 29,App Support,2,3,85,false
INC000030,Incidente de teste número 30,App Support,1,3,92,false
INC000031,Incidente de teste número 31,Service Desk,1,3,30,false
INC000032,Incidente de teste número 32,App Support,1,3,48,true
INC000033,Incidente de teste número 33,NOC Brasil,3,1,69,true
INC000034,Incidente de teste número 34,Finance IT,2,2,87,true
INC000035,Incidente de teste número 35,App Support,1,3,38,false
INC000036,Incidente de teste número 36,App Support,1,2,81,true
INC000037,Incidente de teste número 37,NOC Brasil,3,2,82,true
INC000038,Incidente de teste número 38,NOC Brasil,1,2,68,true
INC000039,Incidente de teste número 39,Web Team,2,3,68,false
INC000040,Incidente de teste número 40,NOC Brasil,2,3,53,true
INC000041,Incidente de teste número 41,Finance IT,3,2,49,true
INC000042,Incidente de teste número 42,App Support,1,3,87,false
INC000043,Incidente de teste número 43,NOC Brasil,3,1,81,false
INC000044,Incidente de teste número 44,Finance IT,2,2,37,false
INC000045,Incidente de teste número 45,Web Team,1,3,37,true
INC000046,Incidente de teste número 46,Finance IT,2,2,43,true
INC000047,Incidente de teste número 47,Finance IT,1,2,65,true
INC000048,Incidente de teste número 48,Web Team,3,3,60,true
INC000049,Incidente de teste número 49,App Support,2,3,74,true
INC000050,Incidente de teste número 50,App Support,2,3,52,true
INC000051,Incidente de teste número 51,Service Desk,1,1,76,true
INC000052,Incidente de teste número 52,Finance IT,2,2,40,false
INC000053,Incidente de teste número 53,Finance IT,1,1,32,true
INC000054,Incidente de teste número 54,Finance IT,1,3,82,false
INC000055,Incidente de teste número 55,Web Team,2,3,87,true
INC000056,Incidente de teste número 56,Web Team,2,2,74,true
INC000057,Incidente de teste número 57,Web Team,2,1,34,false
INC000058,Incidente de teste número 58,App Support,3,2,66,false
INC000059,Incidente de teste número 59,NOC Brasil,2,3,80,false
INC000060,Incidente de teste número 60,Service Desk,3,3,58,true
INC000061,Incidente de teste número 61,App Support,3,2,72,true
INC000062,Incidente de teste número 62,Finance IT,2,3,37,false
INC000063,Incidente de teste número 63,NOC Brasil,1,3,64,true
INC000064,Incidente de teste número 64,App Support,2,3,89,true
INC000065,Incidente de teste número 65,Service Desk,1,3,61,true
INC000066,Incidente de teste número 66,Finance IT,1,1,73,true
INC000067,Incidente de teste número 67,Finance IT,2,3,88,false
INC000068,Incidente de teste número 68,App Support,2,3,83,false
INC000069,Incidente de teste número 69,NOC Brasil,1,3,39,false
INC000070,Incidente de teste número 70,Service Desk,2,2,70,false
INC000071,Incidente de teste número 71,Finance IT,3,2,30,true
INC000072,Incidente de teste número 72,Service Desk,1,3,51,false
INC000073,Incidente de teste número 73,Service Desk,3,2,52,true
INC000074,Incidente de teste número 74,Service Desk,3,3,33,false
INC000075,Incidente de teste número 75,Service Desk,3,3,32,true
INC000076,Incidente de teste número 76,NOC Brasil,1,3,39,false
INC000077,Incidente de teste número 77,App Support,2,1,41,true
INC000078,Incidente de teste número 78,NOC Brasil,2,3,83,true
INC000079,Incidente de teste número 79,Service Desk,3,1,30,false
INC000080,Incidente de teste número 80,Finance IT,1,3,93,false
INC000081,Incidente de teste número 81,NOC Brasil,1,1,83,true
INC000082,Incidente de teste número 82,Service Desk,2,2,57,false
INC000083,Incidente de teste número 83,App Support,1,2,80,true
INC000084,Incidente de teste número 84,Web Team,2,2,73,true
INC000085,Incidente de teste número 85,Finance IT,3,2,92,false
INC000086,Incidente de teste número 86,App Support,3,2,75,false
INC000087,Incidente de teste número 87,Service Desk,3,1,83,false
INC000088,Incidente de teste número 88,App Support,3,2,55,true
INC000089,Incidente de teste número 89,App Support,3,3,75,true
INC000090,Incidente de teste número 90,Web Team,2,3,58,true
INC000091,Incidente de teste número 91,Finance IT,2,1,35,true
INC000092,Incidente de teste número 92,App Support,3,3,65,false
INC000093,Incidente de teste número 93,Finance IT,1,2,47,true
INC000094,Incidente de teste número 94,Service Desk,1,2,89,true
INC000095,Incidente de teste número 95,Service Desk,3,2,40,true
INC000096,Incidente de teste número 96,Service Desk,2,1,45,true
INC000097,Incidente de teste número 97,Finance IT,3,2,84,true
INC000098,Incidente de teste número 98,Finance IT,1,2,36,true
INC000099,Incidente de teste número 99,Finance IT,1,3,83,true
INC000100,Incidente de teste número 100,Service Desk,3,1,34,false
